id,LLM_Q1,LLM_Q2,LLM_Q3,LLM_Q4,LLM_Q5,LLM_Q6,LLM_Q7,LLM_Q8,LLM_Q9,LLM_Q10,LLM_Q11,LLM_Q12,LLM_Q13,LLM_Q14,LLM_Q15,LLM_Q16,LLM_Q17,LLM_Q18,LLM_Q19,LLM_Q20,LLM_A1,LLM_A2,LLM_A3,LLM_A4,LLM_A5,LLM_A6
10,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,NA,4,4,6,4,4
11,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,NA,6,5,5,5,5
12,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Parakeet Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,4,4,6,5,4
13,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,NA,5,4,7,5,4
14,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,6,6,5,6,5
15,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,NA,5,5,4,6,4
16,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Least Auklet,Least Auklet,Crested Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,NA,4,5,6,4,4
17,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,NA,6,5,6,6,4
18,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,NA,5,5,6,5,4
19,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,NA,4,4,6,4,3
20,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,NA,4,5,5,4,4
21,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,NA,4,4,5,5,5
22,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,NA,5,4,6,5,3
23,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Least Auklet,Crested Auklet,Crested Auklet,Least Auklet,Least Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Least Auklet,Crested Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,NA,3,4,6,3,3
24,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,NA,6,5,5,6,5
25,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,4,4,6,5,3
26,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,NA,4,5,6,4,4
27,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,NA,5,4,7,5,4
28,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,NA,6,5,5,6,5
29,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,NA,5,5,5,5,4
30,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,5,5,5,5,6
31,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,NA,4,4,6,3,4
32,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,NA,6,5,5,6,5
33,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,4,5,5,6,5
34,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,NA,5,4,6,5,4
35,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,NA,4,5,6,5,5
36,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,NA,4,6,6,4,4
37,Crested Auklet,Crested Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Least Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,NA,5,5,6,6,5
38,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,NA,6,6,5,6,4
39,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,5,5,6,5,4
40,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,5,5,6,5,4
41,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,NA,5,5,6,5,5
42,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,5,6,4,6,4
43,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Least Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Rhinoceros Auklet,NA,4,5,6,5,5
44,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,NA,5,5,6,5,3
45,Crested Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,5,6,6,6,5
46,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Least Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,NA,3,5,5,5,4
47,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Rhinoceros Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,NA,7,6,2,6,6
48,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Least Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,Crested Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Rhinoceros Auklet,Least Auklet,NA,6,5,4,7,5
49,Crested Auklet,Parakeet Auklet,Crested Auklet,Crested Auklet,Crested Auklet,Least Auklet,Rhinoceros Auklet,Crested Auklet,Least Auklet,Least Auklet,Crested Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Parakeet Auklet,Crested Auklet,Parakeet Auklet,Rhinoceros Auklet,Parakeet Auklet,Parakeet Auklet,NA,6,5,5,6,5
